post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
101930054.how-e-long-20th-century-transformed,2023-02-09T22:29:52.047Z,true,2023-02-09T22:29:52.217Z,newsletter,everyone,How þe Long 20th Century Transformed þe World; & BRIEFLY NOTED: For 2023-02-09 Th,"My audio podcast & the transcript from ""Hub Dialogues"". I was interviewed by Sean Speer. But you should also listen to Martin Wolf talking about his brand-new book, ""The Crisis of Democratic Capit...",
101698724.industrial-policy-from-engels-to,2023-02-08T18:54:52.337Z,true,2023-02-08T18:54:52.542Z,newsletter,everyone,"Industrial Policy: From Engels to Eisenhower, & Beyond","For Promarket: 2023-02-07: The only truly live argument in Schultze’s ""Industrial Policy: A Dissent"" is: ""It is not possible in the American political system...",
101535115.review-malthusian-economy,,false,,newsletter,only_paid,,,
101415317.day-6-lecture-notes-24-slow-pace,2023-02-07T14:50:12.508Z,true,,newsletter,everyone,DAY 6: LECTURE NOTES: 2.4. Slow Pace of Innovation & Discovery Before Modern Economic Growth,,
101236612.microblogging-gillian-tett-carmen,2023-02-06T15:57:09.842Z,true,2023-02-06T15:57:10.009Z,newsletter,everyone,"MICROBLOGGING: Gillian Tett, Carmen Reinhart, Peter Schiff, & Brad DeLong on IAI.TV Talking About: QE in Retrospect","From þe Chat, & of þe Moment… Things worth noting, but much too short to be worth a full post...",
101203174.podcast-hexapodia-is-e-key-insight-c8b,2023-02-06T14:12:21.137Z,true,2023-02-06T14:12:21.280Z,podcast,everyone,PODCAST: “Hexapodia” is þe Key Insight! XLVII: “Polycrisis” Was Just the New Cold War All the Time!,"Friend-Shoring, Decoupling, & Deglobalization Edition; Noah Smith & Brad DeLong Record the Podcast We, at Least, Would Like to Listen to!; Aspirationally Semi-Weekly; Aspirationally an hour or less...",
101056822.revisited-how-worried-should-we-be,2023-02-07T19:46:31.634Z,true,2023-02-07T19:46:31.852Z,newsletter,everyone,REVISITED: How Worried Should We Be About Rising Inflation?; & BRIEFLY NOTED: For 2023-02-07 Tu,"Looking back on my debate late last summer with Josh Hausman on whether controlling U.S. inflation is likely to require a substantial recession. At the time, the most ground that I could give was...",
100935822.video-e-market-giveth-e-market-taketh,2023-02-05T14:52:25.594Z,true,2023-02-05T14:52:25.798Z,newsletter,everyone,VIDEO: Þe Market Giveth; Þe Market Taketh Away: Blessed Be þe Name of þe Market?; & BRIEFLY NOTED: For 2023-02-05 Su,,
100907899.brad-delong-flies-his-orthodox-engelsist,2023-02-04T22:14:32.298Z,true,2023-02-04T22:14:32.485Z,newsletter,everyone,Brad DeLong Flies His Orthodox Engelsist Freak Flag on Transformations in þe Mode of Production; & BRIEFLY NOTED: For 2023-02-04 Sa,"A Non-Platonic Twitter Dialogue: In a Better World than This, This Is What Twitter Would Have Been Used for: Bhandari, DeLong, Riley, et al.; Martin Wolf; Mike Konczal; Very Briefly Noted; & ¶s",
100293926.draft-for-my-february-project-syndicate,2023-02-01T18:32:06.527Z,true,2023-02-01T18:32:06.679Z,newsletter,only_paid,DRAFT: For My February Project Syndicate Column...,"New Deal Order, Neoliberalism, Neofascism, Oligarchic Kleptocrism—which of these are live political-economic options for the future. This column draft is not (yet) where I want it to be, so I am...",
100104619.utopia-or-bust-and-briefly-noted,2023-02-03T14:53:12.977Z,true,2023-02-03T14:53:13.148Z,newsletter,everyone,"Utopia or Bust?, & BRIEFLY NOTED: For 2023-02-03 Fr","Project Syndicate column, finally using this microprocessor, Joshua Rothman on the Upper-Lower South slave trade, Krugman, Wolf, Duy, Rogoff, Brainard, Pueyo, Baldwin, Karpf, Harrison, Harrison...",
99698026.e-meaning-of-1870-e-year-everything,2023-01-30T00:44:28.699Z,true,,newsletter,everyone,Þe Meaning of 1870: Þe Year Everything Changed,"For ""The International Economy"", Fall 2022 issue; an excerpt from ""Slouching Towards Utopia: Þe Economic History of þe 20th Century""",
99484155.five-things-and-briefly-noted-for,2023-01-30T23:35:32.685Z,true,2023-01-30T23:35:32.869Z,newsletter,everyone,"Five Things, & BRIEFLY NOTED: For 2023-01-30 Mo","My disappointment wiþ þe Biden administration’s failure to revoke Trump’s China tariffs... ""friendshoring""... wisdom in ""Source of Soviet Conduct""... narrow & deep flaws in neoliberalism... little...",
